Designator,Mid X,Mid Y,Rotation,Layer
C10,90.5,-62.0,0.0,bottom
C6,41.5,-61.75,0.0,bottom
C7,41.5,-56.5,0.0,bottom
C8,63.0,-48.0,90.0,top
C9,90.5,-60.0,180.0,bottom
D0,45.5125,-49.215,90.0,bottom
D1,83.6125,-49.215,90.0,bottom
D10,274.1125,-49.215,90.0,bottom
D11,293.1625,-49.215,90.0,bottom
D12,312.2125,-49.215,90.0,bottom
D13,45.5125,-77.79,90.0,bottom
D14,64.5625,-77.79,90.0,bottom
D15,83.6125,-77.79,90.0,bottom
D16,102.6625,-77.79,90.0,bottom
D17,121.7125,-77.79,90.0,bottom
D18,140.7625,-77.79,90.0,bottom
D19,159.8125,-77.79,90.0,bottom
D2,102.6625,-49.215,90.0,bottom
D20,178.8625,-77.79,90.0,bottom
D21,197.9125,-77.79,90.0,bottom
D22,216.9625,-77.79,90.0,bottom
D23,236.0125,-77.79,90.0,bottom
D24,255.0625,-77.79,90.0,bottom
D25,274.1125,-77.79,90.0,bottom
D26,302.6875,-77.79,90.0,bottom
D27,336.025,-77.79,90.0,bottom
D28,355.075,-77.79,90.0,bottom
D29,374.125,-77.79,90.0,bottom
D3,121.7125,-49.215,90.0,bottom
D30,50.275,-96.84,90.0,bottom
D31,74.0875,-96.84,90.0,bottom
D32,93.1375,-96.84,90.0,bottom
D33,112.1875,-96.84,90.0,bottom
D34,131.2375,-96.84,90.0,bottom
D35,150.2875,-96.84,90.0,bottom
D36,169.3375,-96.84,90.0,bottom
D37,188.3875,-96.84,90.0,bottom
D38,207.4375,-96.84,90.0,bottom
D39,226.4875,-96.84,90.0,bottom
D4,140.7625,-49.215,90.0,bottom
D40,245.5375,-96.84,90.0,bottom
D41,264.5875,-96.84,90.0,bottom
D42,283.6375,-96.84,90.0,bottom
D43,307.45,-96.84,90.0,bottom
D44,336.025,-96.84,90.0,bottom
D45,355.075,-96.84,90.0,bottom
D46,374.125,-96.84,90.0,bottom
D47,52.65625,-115.89,90.0,bottom
D48,78.85,-115.89,90.0,bottom
D49,97.9,-115.89,90.0,bottom
D5,169.3375,-49.215,90.0,bottom
D50,116.95,-115.89,90.0,bottom
D51,136.0,-115.89,90.0,bottom
D52,155.05,-115.89,90.0,bottom
D53,174.1,-115.89,90.0,bottom
D54,193.15,-115.89,90.0,bottom
D55,212.2,-115.89,90.0,bottom
D56,231.25,-115.89,90.0,bottom
D57,250.3,-115.89,90.0,bottom
D58,269.35,-115.89,90.0,bottom
D59,300.30625,-115.89,90.0,bottom
D6,188.3875,-49.215,90.0,bottom
D60,57.41875,-134.94,90.0,bottom
D61,88.375,-134.94,90.0,bottom
D62,107.425,-134.94,90.0,bottom
D63,126.475,-134.94,90.0,bottom
D64,145.525,-134.94,90.0,bottom
D65,164.575,-134.94,90.0,bottom
D66,183.625,-134.94,90.0,bottom
D67,202.675,-134.94,90.0,bottom
D68,221.725,-134.94,90.0,bottom
D69,240.775,-134.94,90.0,bottom
D7,207.4375,-49.215,90.0,bottom
D70,259.825,-134.94,90.0,bottom
D71,295.54375,-134.94,90.0,bottom
D72,355.075,-134.94,90.0,bottom
D73,47.89375,-153.99,90.0,bottom
D74,71.70625,-153.99,90.0,bottom
D75,95.51875,-153.99,90.0,bottom
D76,166.95625,-153.99,90.0,bottom
D77,238.39375,-153.99,90.0,bottom
D78,262.20625,-153.99,90.0,bottom
D79,286.01875,-153.99,90.0,bottom
D8,226.4875,-49.215,90.0,bottom
D80,309.83125,-153.99,90.0,bottom
D81,336.025,-153.99,90.0,bottom
D82,355.075,-153.99,90.0,bottom
D83,374.125,-153.99,90.0,bottom
D9,255.0625,-49.215,90.0,bottom
J1,39.75,-112.0,0.0,top
J3,61.93,-35.71875,180.0,bottom
J4,392.625,-111.0,0.0,top
K0,48.7725,-43.315,0.0,top
K1,86.8725,-43.315,0.0,top
K10,277.3725,-43.315,0.0,top
K11,296.4225,-43.315,0.0,top
K12,315.4725,-43.315,0.0,top
K13,48.7725,-71.89,0.0,top
K14,67.8225,-71.89,0.0,top
K15,86.8725,-71.89,0.0,top
K16,105.9225,-71.89,0.0,top
K17,124.9725,-71.89,0.0,top
K18,144.0225,-71.89,0.0,top
K19,163.0725,-71.89,0.0,top
K2,105.9225,-43.315,0.0,top
K20,182.1225,-71.89,0.0,top
K21,201.1725,-71.89,0.0,top
K22,220.2225,-71.89,0.0,top
K23,239.2725,-71.89,0.0,top
K24,258.3225,-71.89,0.0,top
K25,277.3725,-71.89,0.0,top
K26,305.9475,-71.89,0.0,top
K27,339.285,-71.89,0.0,top
K28,358.335,-71.89,0.0,top
K29,377.385,-71.89,0.0,top
K3,124.9725,-43.315,0.0,top
K30,53.535,-90.94,0.0,top
K31,77.3475,-90.94,0.0,top
K32,96.3975,-90.94,0.0,top
K33,115.4475,-90.94,0.0,top
K34,134.4975,-90.94,0.0,top
K35,153.5475,-90.94,0.0,top
K36,172.5975,-90.94,0.0,top
K37,191.6475,-90.94,0.0,top
K38,210.6975,-90.94,0.0,top
K39,229.7475,-90.94,0.0,top
K4,144.0225,-43.315,0.0,top
K40,248.7975,-90.94,0.0,top
K41,267.8475,-90.94,0.0,top
K42,286.8975,-90.94,0.0,top
K43,310.71,-90.94,0.0,top
K44,339.285,-90.94,0.0,top
K45,358.335,-90.94,0.0,top
K46,377.385,-90.94,0.0,top
K47,55.91625,-109.99,0.0,top
K48,82.11,-109.99,0.0,top
K49,101.16,-109.99,0.0,top
K5,172.5975,-43.315,0.0,top
K50,120.21,-109.99,0.0,top
K51,139.26,-109.99,0.0,top
K52,158.31,-109.99,0.0,top
K53,177.36,-109.99,0.0,top
K54,196.41,-109.99,0.0,top
K55,215.46,-109.99,0.0,top
K56,234.51,-109.99,0.0,top
K57,253.56,-109.99,0.0,top
K58,272.61,-109.99,0.0,top
K59,303.56625,-109.99,0.0,top
K6,191.6475,-43.315,0.0,top
K60,60.67875,-129.04,0.0,top
K61,91.635,-129.04,0.0,top
K62,110.685,-129.04,0.0,top
K63,129.735,-129.04,0.0,top
K64,148.785,-129.04,0.0,top
K65,167.835,-129.04,0.0,top
K66,186.885,-129.04,0.0,top
K67,205.935,-129.04,0.0,top
K68,224.985,-129.04,0.0,top
K69,244.035,-129.04,0.0,top
K7,210.6975,-43.315,0.0,top
K70,263.085,-129.04,0.0,top
K71,298.80375,-129.04,0.0,top
K72,358.335,-129.04,0.0,top
K73,51.15375,-148.09,0.0,top
K74,74.96625,-148.09,0.0,top
K75,98.77875,-148.09,0.0,top
K76,170.21625,-148.09,0.0,top
K77,241.65375,-148.09,0.0,top
K78,265.46625,-148.09,0.0,top
K79,289.27875,-148.09,0.0,top
K8,229.7475,-43.315,0.0,top
K80,313.09125,-148.09,0.0,top
K81,339.285,-148.09,0.0,top
K82,358.335,-148.09,0.0,top
K83,377.385,-148.09,0.0,top
K9,258.3225,-43.315,0.0,top
R2,74.25,-53.75,0.0,top
R3,74.3375,-56.0,0.0,top
R4,71.75,-62.75,270.0,top
SW2,377.385,-45.25,0.0,top
U1,62.75,-58.0,180.0,top
U2,84.0,-59.25,90.0,bottom
Y1,46.25,-59.25,90.0,bottom
